task_id,specification,input_ports,clock_ports,reset_ports,sequential_task,reset_exposed,reset_behavior_specified,power_on_or_initial_state_language_explicit,uninitialized_state_prohibited,comprehensive_reset_coverage_required,native_unknown_initial_state_scoring,intent_sufficient_for_ref_xprop_001,functional_oracle,manual_review,evidence
cvdp_copilot_16qam_mapper_0001,cvdp_copilot_16qam_mapper_0001:input.prompt,"('bits',)",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_16qam_mapper_0006,cvdp_copilot_16qam_mapper_0006:input.prompt,"('I', 'Q')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_32_bit_Brent_Kung_PP_adder_0001,cvdp_copilot_32_bit_Brent_Kung_PP_adder_0001:input.prompt,"('a', 'b', 'carry_in')",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_64b66b_decoder_0001,cvdp_copilot_64b66b_decoder_0001:input.prompt,"('clk_in', 'rst_in', 'decoder_data_in')","('clk_in',)","('rst_in',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk_in', 'reset ports: rst_in', 'specification states reset behavior')"
cvdp_copilot_64b66b_decoder_0011,cvdp_copilot_64b66b_decoder_0011:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_64b66b_encoder_0001,cvdp_copilot_64b66b_encoder_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_64b66b_encoder_0005,cvdp_copilot_64b66b_encoder_0005:input.prompt,"('clk_in', 'rst_in', 'encoder_data_in', 'encoder_control_in')","('clk_in',)","('rst_in',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk_in', 'reset ports: rst_in', 'specification states reset behavior')"
cvdp_copilot_64b66b_encoder_0009,cvdp_copilot_64b66b_encoder_0009:input.prompt,"('clk_in', 'rst_in', 'encoder_data_in', 'encoder_control_in')","('clk_in',)","('rst_in',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk_in', 'reset ports: rst_in', 'specification states reset behavior')"
cvdp_copilot_64b66b_encoder_0022,cvdp_copilot_64b66b_encoder_0022:input.prompt,"('clk_in', 'rst_in', 'encoder_data_in', 'encoder_control_in', 'data_in', 'control_input')","('clk_in',)","('rst_in',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk_in', 'reset ports: rst_in', 'specification states reset behavior')"
cvdp_copilot_8x3_priority_encoder_0001,cvdp_copilot_8x3_priority_encoder_0001:input.prompt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_8x3_priority_encoder_0013,cvdp_copilot_8x3_priority_encoder_0013:input.prompt,"('in',)",(),(),False,False,False,False,False,False,False,False,True,False,()
cvdp_copilot_Attenuator_0001,cvdp_copilot_Attenuator_0001:input.prompt,"('clk', 'reset', 'data')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
