task_id,specification,input_ports,clock_ports,reset_ports,sequential_task,reset_exposed,reset_behavior_specified,power_on_or_initial_state_language_explicit,uninitialized_state_prohibited,comprehensive_reset_coverage_required,native_unknown_initial_state_scoring,intent_sufficient_for_ref_xprop_001,functional_oracle,manual_review,evidence
Arithmetic/Accumulator/accu,Arithmetic/Accumulator/accu/design_description.txt,"('clk', 'rst_n', 'valid_in')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Arithmetic/Adder/adder_16bit,Arithmetic/Adder/adder_16bit/design_description.txt,"('Cin',)",(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Adder/adder_32bit,Arithmetic/Adder/adder_32bit/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Adder/adder_8bit,Arithmetic/Adder/adder_8bit/design_description.txt,"('cin',)",(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Adder/adder_bcd,Arithmetic/Adder/adder_bcd/design_description.txt,"('Cin',)",(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Adder/adder_pipe_64bit,Arithmetic/Adder/adder_pipe_64bit/design_description.txt,"('clk', 'rst_n', 'i_en', 'adda', 'addb')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Arithmetic/Comparator/comparator_3bit,Arithmetic/Comparator/comparator_3bit/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Comparator/comparator_4bit,Arithmetic/Comparator/comparator_4bit/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Divider/div_16bit,Arithmetic/Divider/div_16bit/design_description.txt,"('A', 'B')",(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Divider/radix2_div,Arithmetic/Divider/radix2_div/design_description.txt,"('clk', 'rst', 'sign', 'dividend', 'divisor', 'opn_valid')","('clk',)","('rst',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst', 'specification states reset behavior')"
Arithmetic/Multiplier/multi_16bit,Arithmetic/Multiplier/multi_16bit/design_description.txt,"('clk', 'rst_n', 'start', 'ain', 'bin')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Arithmetic/Multiplier/multi_8bit,Arithmetic/Multiplier/multi_8bit/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Arithmetic/Multiplier/multi_booth_8bit,Arithmetic/Multiplier/multi_booth_8bit/design_description.txt,"('clk', 'reset', 'a', 'b')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
Arithmetic/Multiplier/multi_pipe_4bit,Arithmetic/Multiplier/multi_pipe_4bit/design_description.txt,"('clk', 'rst_n', 'mul_a', 'mul_b')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Arithmetic/Multiplier/multi_pipe_8bit,Arithmetic/Multiplier/multi_pipe_8bit/design_description.txt,"('clk', 'rst_n', 'mul_en_in', 'mul_a', 'mul_b')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Arithmetic/Other/fixed_point_adder,Arithmetic/Other/fixed_point_adder/design_description.txt,(),(),(),True,False,False,False,False,False,False,False,True,False,()
Arithmetic/Other/fixed_point_substractor,Arithmetic/Other/fixed_point_substractor/design_description.txt,(),(),(),True,False,False,False,False,False,False,False,True,False,()
Arithmetic/Other/float_multi,Arithmetic/Other/float_multi/design_description.txt,(),(),(),True,False,False,False,False,False,False,False,True,False,()
Arithmetic/Substractor/sub_64bit,Arithmetic/Substractor/sub_64bit/design_description.txt,(),(),(),False,False,False,False,False,False,False,False,True,False,()
Control/Counter/JC_counter,Control/Counter/JC_counter/design_description.txt,"('ports',)",(),(),True,False,False,False,False,False,False,False,True,False,()
Control/Counter/counter_12,Control/Counter/counter_12/design_description.txt,"('rst_n', 'clk', 'valid_count')","('clk',)","('rst_n',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: rst_n', 'specification states reset behavior')"
Control/Counter/ring_counter,Control/Counter/ring_counter/design_description.txt,"('clk', 'reset')","('clk',)","('reset',)",True,True,True,True,False,False,False,False,True,True,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior', 'specification uses explicit power-on or initial-state language')"
Control/Counter/up_down_counter,Control/Counter/up_down_counter/design_description.txt,"('clk', 'reset', 'up_down')","('clk',)","('reset',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: clk', 'reset ports: reset', 'specification states reset behavior')"
Control/Finite State Machine/fsm,Control/Finite State Machine/fsm/design_description.txt,"('IN', 'CLK', 'RST')","('CLK',)","('RST',)",True,True,True,False,False,False,False,False,True,False,"('clock ports: CLK', 'reset ports: RST', 'specification states reset behavior')"
