task_id,specification,input_ports,clock_ports,reset_ports,multi_clock,multi_reset,asynchronous_relation_explicit,synchronous_deassertion_explicit,reset_polarity_explicit,functional_oracle,constraint_files,structural_oracle_files,structural_risk_exposed,intent_sufficient_for_reference_audit,natively_structurally_scored,manual_review,evidence
Arithmetic/Accumulator/accu,Arithmetic/Accumulator/accu/design_description.txt,"('clk', 'rst_n', 'valid_in')","('clk',)","('rst_n',)",False,False,True,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n', 'specification contains asynchronous/synchronization intent')"
Arithmetic/Adder/adder_16bit,Arithmetic/Adder/adder_16bit/design_description.txt,"('Cin',)",(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Adder/adder_32bit,Arithmetic/Adder/adder_32bit/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Adder/adder_8bit,Arithmetic/Adder/adder_8bit/design_description.txt,"('cin',)",(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Adder/adder_bcd,Arithmetic/Adder/adder_bcd/design_description.txt,"('Cin',)",(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Adder/adder_pipe_64bit,Arithmetic/Adder/adder_pipe_64bit/design_description.txt,"('clk', 'rst_n', 'i_en', 'adda', 'addb')","('clk',)","('rst_n',)",False,False,True,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n', 'specification contains asynchronous/synchronization intent')"
Arithmetic/Comparator/comparator_3bit,Arithmetic/Comparator/comparator_3bit/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Comparator/comparator_4bit,Arithmetic/Comparator/comparator_4bit/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Divider/div_16bit,Arithmetic/Divider/div_16bit/design_description.txt,"('A', 'B')",(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Divider/radix2_div,Arithmetic/Divider/radix2_div/design_description.txt,"('clk', 'rst', 'sign', 'dividend', 'divisor', 'opn_valid')","('clk',)","('rst',)",False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst')"
Arithmetic/Multiplier/multi_16bit,Arithmetic/Multiplier/multi_16bit/design_description.txt,"('clk', 'rst_n', 'start', 'ain', 'bin')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
Arithmetic/Multiplier/multi_8bit,Arithmetic/Multiplier/multi_8bit/design_description.txt,(),(),(),False,False,False,False,False,True,(),(),False,False,False,False,()
Arithmetic/Multiplier/multi_booth_8bit,Arithmetic/Multiplier/multi_booth_8bit/design_description.txt,"('clk', 'reset', 'a', 'b')","('clk',)","('reset',)",False,False,False,False,False,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: reset')"
Arithmetic/Multiplier/multi_pipe_4bit,Arithmetic/Multiplier/multi_pipe_4bit/design_description.txt,"('clk', 'rst_n', 'mul_a', 'mul_b')","('clk',)","('rst_n',)",False,False,False,False,True,True,(),(),False,False,False,False,"('clock ports: clk', 'reset ports: rst_n')"
