task_id,specification,functional_oracle,public_reference_rtl,bounded_temporal_contract,persistence_temporal_contract,progress_or_liveness_contract,protocol_or_ordering_contract,temporal_contract_explicit,native_temporal_assertion_scoring,formal_temporal_scoring,finite_trace_temporal_scoring,reference_trace_scoring,synthesis_contract_explicit,equivalence_contract_explicit,synthesis_scoring,post_synthesis_behavior_scoring,formal_equivalence_scoring,temporal_contract_without_property_or_formal,progress_contract_without_formal,equivalence_contract_without_formal_equivalence,synthesis_contract_without_synthesis,manual_review,evidence
Arithmetic/Accumulator/accu,Arithmetic/Accumulator/accu/design_description.txt,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …ceived data accumulation results and sets the valid_out to be 1 (will last only 1 cycle). Module name: accu Input ports: clk: Clock input for sy…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Adder/adder_16bit,Arithmetic/Adder/adder_16bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Adder/adder_32bit,Arithmetic/Adder/adder_32bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Adder/adder_8bit,Arithmetic/Adder/adder_8bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Adder/adder_bcd,Arithmetic/Adder/adder_bcd/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Adder/adder_pipe_64bit,Arithmetic/Adder/adder_pipe_64bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Comparator/comparator_3bit,Arithmetic/Comparator/comparator_3bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Comparator/comparator_4bit,Arithmetic/Comparator/comparator_4bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Divider/div_16bit,Arithmetic/Divider/div_16bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Divider/radix2_div,Arithmetic/Divider/radix2_div/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Multiplier/multi_16bit,Arithmetic/Multiplier/multi_16bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
Arithmetic/Multiplier/multi_8bit,Arithmetic/Multiplier/multi_8bit/design_description.txt,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
